gene,n_pairs,r
RBM5,1599,0.3915
RALGPS1,1578,0.3912
POLG,1586,0.3912
UBE2O,1599,0.3912
SDK1,1600,0.3911
HFM1,1498,0.391
PIK3R1,1597,0.3909
HMGB1,1591,0.3908
MAFK,1596,0.3907
RSBN1,1574,0.3905
PRC1,1577,0.3904
BACH2,1583,0.3903
TNIK,1599,0.3901
KDM7A,1600,0.39
SQSTM1,1600,0.3897
INSIG2,1599,0.3896
ZNF652,1598,0.3896
ENO1,1600,0.3894
ZNRF1,1595,0.3893
DDIT4,1597,0.3891
ACTN4,1600,0.389
FEM1C,1599,0.389
ANKH,1594,0.3886
IFIH1,1595,0.3886
FAM135A,1595,0.3885
ZC3HAV1,1599,0.3885
PRKCE,1600,0.3883
KIF1C,1582,0.3883
IRF2,1577,0.3883
RABGAP1L,1600,0.3882
TUBG2,1575,0.3881
LMBRD1,1596,0.3879
RBL1,1577,0.3878
TANK,1600,0.3877
SLC20A1,1589,0.3874
ZNF638,1600,0.3874
RNF130,1600,0.3871
PAPOLA,1600,0.3871
ARID1B,1600,0.3868
HERC1,1600,0.3868
CAMK2D,1600,0.3868
PLSCR1,1598,0.3868
ZSWIM4,1579,0.3865
ZNF438,1589,0.3865
SREBF1,1587,0.3865
CENPK,1567,0.3865
MRPL42,1578,0.3865
SMAD3,1600,0.3862
PPP6R3,1600,0.386
SH3PXD2B,1580,0.3859
COLGALT1,1568,0.3859
CHD8,1598,0.3859
PYGL,1599,0.3858
PSAT1,1566,0.3857
PHF14,1600,0.3856
FBXO34,1599,0.3853
FTL,1600,0.385
MTR,1600,0.385
ZKSCAN1,1600,0.3849
PLAG1,1593,0.3849
CCL19,39,0.3848
ETV4,1560,0.3848
IGHD,23,0.3847
TSC1,1594,0.3846
NR4A2,1588,0.3845
DNAJB4,1577,0.3844
ELL2,1600,0.3843
TMA7,1581,0.384
ITGB4,1590,0.3837
ARHGEF28,1589,0.3834
MCM7,1581,0.3834
DIAPH2,1600,0.3833
ZNF654,1599,0.3833
EIF3I,1590,0.3833
ZNF791,1579,0.3829
CIR1,1598,0.3828
PGRMC2,1597,0.3827
MAML3,1600,0.3825
DSG2,1600,0.3824
SECISBP2L,1600,0.3824
ATP9B,1599,0.3823
CLDN12,1598,0.3823
POU2F1,1599,0.3821
LRCH1,1599,0.3821
CCT3,1586,0.3819
MINK1,1591,0.3819
MNT,1588,0.3819
TTC28-AS1,1592,0.3817
SPSB1,1590,0.3816
KIAA1217,1600,0.3814
CD59,1597,0.3813
TSPAN3,1586,0.3812
MYL12A,1596,0.3812
CTSD,1598,0.3812
TRIM38,1587,0.3812
SMAD1,1555,0.3811
TMEM51,1594,0.3809
ALG2,1568,0.3807
CYTH3,1590,0.3804
SSH2,1600,0.3801
SERPINB1,1594,0.38
UACA,1600,0.38
ARHGDIA,1591,0.38
RNF149,1600,0.38
CAV1,1599,0.3799
TFPI,1598,0.3799
MARF1,1594,0.3798
UBE2E2,1600,0.3797
FER,1600,0.3796
TRIM24,1588,0.3795
SYNE2,1599,0.3795
BACH1,1600,0.3792
LMTK2,1595,0.3791
ATG7,1598,0.379
RTTN,1582,0.3788
CCDC32,1574,0.3787
PSMD6,1573,0.3785
FBXL5,1593,0.3785
GPC6,1600,0.3784
EYA3,1596,0.3784
VPS13D,1600,0.3783
TPCN1,1596,0.3782
ABCC3,1597,0.3782
TPT1-AS1,1598,0.3781
PRKAR1A,1600,0.3781
PPFIA1,1600,0.3781
CRYAB,1412,0.378
MAD1L1,1597,0.3777
SFMBT1,1593,0.3773
ZNF766,1588,0.3771
CALM3,1592,0.3767
PODXL,1585,0.3764
SHB,1598,0.3764
FOXM1,1547,0.3764
BUB1B,1571,0.3759
MIA3,1600,0.3759
DHRS7B,1586,0.3757
PCNX1,1600,0.3757
KLHL20,1590,0.3753
ASPM,1591,0.3752
TMEM109,1545,0.3751
TRIM33,1598,0.3747
INPP4A,1582,0.3747
KRT6C,166,0.3744
RIC1,1598,0.3744
ITPR2,1599,0.3744
ZNF217,1596,0.3743
HBEGF,1575,0.3742
KMT2C,1600,0.3742
CALM1,1599,0.374
ANKRD28,1600,0.374
TEAD1,1600,0.374
ACVR2A,1592,0.374
SUFU,1576,0.374
UBR5,1600,0.3738
R3HCC1L,1599,0.3735
RNF44,1565,0.3735
ALCAM,1599,0.3733
NLK,1597,0.3732
AFTPH,1599,0.3732
EGFR,1600,0.3731
TCP11L2,1594,0.3731
PLOD2,1600,0.3731
DNAJC27-AS1,1550,0.3729
TCOF1,1586,0.3728
MTMR14,1584,0.3728
EXOC4,1600,0.3728
CANT1,1579,0.3728
SLC25A51,1594,0.3727
NCAPG2,1594,0.3727
TET3,1594,0.3726
SESN2,1578,0.3726
CDC27,1598,0.3723
ZER1,1576,0.3719
KIF9-AS1,1584,0.3718
ZBTB25,1592,0.3717
SNHG22,1544,0.3716
TBCK,1594,0.3715
NEMF,1599,0.3715
TOP2A,1593,0.3715
ZC3H13,1599,0.3714
JADE1,1562,0.3713
HERPUD1,1600,0.3712
FERMT1,1580,0.3711
MTHFD2,1596,0.371
FAF2,1598,0.371
THUMPD2,1568,0.3709
ERC1,1600,0.3709
SVIL,1600,0.3707
POLQ,1563,0.3707
TBC1D32,1598,0.3706
MAP3K1,1590,0.3705
KDM6B,1593,0.3704
WHAMM,1589,0.3702
EIF4H,1589,0.37
KDM2B,1596,0.37
EDRF1,1589,0.37
SLC7A11,1600,0.3697
NDC1,1578,0.3694
DENND5A,1598,0.3694
NARF,1595,0.3689
TAOK2,1556,0.3687
DLG1,1600,0.3686
PSD3,1600,0.3685
SMARCAD1,1598,0.3684
CD58,1594,0.3684
MARCKSL1,1560,0.3684
KHNYN,1573,0.3683
HOOK3,1600,0.3678
PLAU,1575,0.3678
TIMELESS,1553,0.3677
UNKL,1566,0.3677
SDCCAG8,1600,0.3676
ZC3H12C,1596,0.3673
APOL6,1592,0.3671
SPTBN1,1600,0.3671
NUCB1,1577,0.3671
PAM,1600,0.3669
CD151,1578,0.3669
SCMH1,1600,0.3668
ATP11B,1599,0.3667
GSE1,1597,0.3666
AGPAT1,1549,0.3665
GOLPH3,1600,0.3665
WDR27,1593,0.3664
RAB30,1593,0.3663
SATB2,1600,0.3662
FOXN3,1599,0.3661
KIAA0232,1594,0.3661
COL13A1,1552,0.3661
CHD7,1600,0.366
DLC1,1600,0.3659
PPP1R12A,1600,0.3659
SLC38A6,1584,0.3659
BCL6,1597,0.3658
RETREG3,1591,0.3656
IRF2BPL,1571,0.3655
MEF2A,1600,0.3654
DISC1,1599,0.3654
PSEN1,1598,0.3654
NEDD4L,1600,0.3651
NEK7,1600,0.365
HACD3,1597,0.3648
ZDHHC14,1588,0.3648
ERCC5,1582,0.3648
SOS2,1600,0.3647
PCNA,1563,0.3647
FANCM,1576,0.3647
EIF4G2,1600,0.3646
TTI1,1576,0.3643
PRDX1,1596,0.3642
MICU1,1600,0.3642
HLA-G,1369,0.364
DTNA,1600,0.3638
SLC25A37,1600,0.3637
VRK3,1574,0.3637
EXOC6,1596,0.3637
ZNF143,1592,0.3637
ST3GAL1,1599,0.3636
ABHD17B,1592,0.3636
SPATA7,1571,0.3635
INTS4,1582,0.3632
NFE2L2,1600,0.363
NDEL1,1598,0.363
HMGN1,1578,0.3629
CEP85L,1592,0.3627
PRKCA,1600,0.3626
MYEOV,1554,0.3625
CPEB3,1594,0.3624
MCM2,1542,0.3624
LMBR1L,1582,0.3623
TOGARAM1,1593,0.3623
MIR31HG,1600,0.362
CTSL,1583,0.3619
CDC42SE2,1597,0.3618
NT5C2,1600,0.3618
IL4R,1576,0.3617
COPB1,1599,0.3615
DNAJA1,1596,0.3615
ALYREF,1541,0.3615
AXIN1,1584,0.3614
WDR20,1600,0.3614
SPCS3,1586,0.3614
TTC28,1598,0.3613
AHNAK2,1585,0.3613
FUS,1600,0.361
CFB,1563,0.3608
PHLDA2,1571,0.3607
NUMA1,1591,0.3606
GTF3C3,1570,0.3606
GPR107,1596,0.3605
