patient,drug,n_rows,n_plates,n_plates_half0,n_plates_half1,n_dose_levels
ACH-000437,Afatinib,564390,7,3,4,3
ACH-000437,Alpelisib,188130,3,1,2,3
ACH-000437,Bicalutamide,188130,3,1,2,3
ACH-000437,Bortezomib,188130,3,1,2,3
ACH-000437,Capivasertib,188130,3,1,2,3
ACH-000437,Cytarabine,376260,4,2,2,3
ACH-000437,Dabrafenib,188130,3,1,2,3
ACH-000437,Dinaciclib,188130,3,1,2,3
ACH-000437,Docetaxel,250840,4,2,2,3
ACH-000437,Erlotinib,188130,3,1,2,3
ACH-000437,Fulvestrant,188130,3,1,2,3
ACH-000437,Gefitinib,188130,3,1,2,3
ACH-000437,Gemcitabine,188130,3,1,2,3
ACH-000437,Ipatasertib,188130,3,1,2,3
ACH-000437,Irinotecan,188130,3,1,2,3
ACH-000437,LJI308,188130,3,1,2,3
ACH-000437,Methotrexate,188130,3,1,2,3
ACH-000437,Oxaliplatin,188130,3,1,2,3
ACH-000437,Paclitaxel,188130,3,1,2,3
ACH-000437,Rapamycin,250840,4,2,2,3
ACH-000437,Retinoic acid,250840,4,2,2,3
ACH-000437,Ribociclib,188130,1,1,0,3
ACH-000437,Temsirolimus,250840,4,2,2,3
ACH-000437,Trametinib,376260,6,2,4,3
ACH-000437,Trametinib (DMSO_TF solvate),188130,3,1,2,3
ACH-000437,Vismodegib,188130,3,1,2,3
ACH-000437,crizotinib,188130,3,1,2,3
ACH-000437,olaparib,250840,4,2,2,3
ACH-000437,palbociclib,188130,3,1,2,3
ACH-000437,venetoclax,188130,3,1,2,3
ACH-000463,5-Azacytidine,188130,3,1,2,3
ACH-000463,5-Fluorouracil,188130,3,1,2,3
ACH-000463,AZD-8055,188130,3,1,2,3
ACH-000463,Afatinib,564390,7,3,4,3
ACH-000463,Alpelisib,188130,3,1,2,3
ACH-000463,Bicalutamide,188130,3,1,2,3
ACH-000463,Bortezomib,188130,3,1,2,3
ACH-000463,Capivasertib,188130,3,1,2,3
ACH-000463,Cytarabine,376260,4,2,2,3
ACH-000463,Dabrafenib,188130,3,1,2,3
ACH-000463,Dinaciclib,188130,3,1,2,3
ACH-000463,Docetaxel,250840,4,2,2,3
ACH-000463,Erlotinib,188130,3,1,2,3
ACH-000463,Fulvestrant,188130,3,1,2,3
ACH-000463,Gefitinib,188130,3,1,2,3
ACH-000463,Gemcitabine,188130,3,1,2,3
ACH-000463,Ipatasertib,188130,3,1,2,3
ACH-000463,Irinotecan,188130,3,1,2,3
ACH-000463,LJI308,188130,3,1,2,3
ACH-000463,Methotrexate,188130,3,1,2,3
ACH-000463,Oxaliplatin,188130,3,1,2,3
ACH-000463,Paclitaxel,188130,3,1,2,3
ACH-000463,Rapamycin,250840,4,2,2,3
ACH-000463,Retinoic acid,250840,4,2,2,3
ACH-000463,Ribociclib,188130,1,1,0,3
ACH-000463,Temsirolimus,250840,4,2,2,3
ACH-000463,Trametinib,376260,6,2,4,3
ACH-000463,Trametinib (DMSO_TF solvate),188130,3,1,2,3
ACH-000463,Vismodegib,188130,3,1,2,3
ACH-000463,crizotinib,188130,3,1,2,3
ACH-000463,olaparib,250840,4,2,2,3
ACH-000463,palbociclib,188130,3,1,2,3
ACH-000463,venetoclax,188130,3,1,2,3
ACH-000493,5-Azacytidine,188130,3,1,2,3
ACH-000493,5-Fluorouracil,188130,3,1,2,3
ACH-000493,AZD-8055,188130,3,1,2,3
ACH-000493,Afatinib,564390,7,3,4,3
ACH-000493,Alpelisib,188130,3,1,2,3
ACH-000493,Bicalutamide,188130,3,1,2,3
ACH-000493,Bortezomib,188130,3,1,2,3
ACH-000493,Capivasertib,188130,3,1,2,3
ACH-000493,Cytarabine,376260,4,2,2,3
